question_id,answer,percentage
1,"Toys",54
1,"Electronics",17
1,"Video Games",12
1,"Food",8
1,"Food",8
1,"Clothes",5
2,"Bus Driver",35
2,"Trucker",34
2,"Limo Driver",13
2,"Fireman",5
2,"Postal delivery",4
2,"Construction Worker",3
3,"Typing",28
3,"Working Hard",23
3,"Communication",20
3,"Sales",6
3,"Customer Service",5
3,"Foreign Language",5
4,"Rudolph",25
4,"Christmas Story",15
4,"Frosty",12
4,"Grinch",11
4,"A Wonderful Life",10
4,"Home Alone",3
5,"Disneyland/World",45
5,"Hawii",35
5,"Las Vegas",6
5,"Mexico",5
5,"Grand Canyon",4
5,"New York City",4
6,"Tree",44
6,"Rock",28
6,"Bump",10
6,"People",9
6,"All/Fence",4
6,"parked Car",3
7,"Bring An Apple",42
7,"Get Good Grades",21
7,"Brown Nose",10
7,"Do Extra Credit Work",9
7,"Raise Hand Often",5
7,"Sit In Fornt",5
8,"10",34
8,"8",32
8,"9",13
8,"11",6
8,"Noon",5
8,"7",4
9,"Movies",38
9,"Airplane",27
9,"Church",13
9,"Comedy Club",8
9,"Restaurant",5
9,"Bus",5
10,"Change Clothes",33
10,"Shower",25
10,"Pass Gas",16
10,"Run",11
10,"Stretch/Bend Over",6
10,"Dance",3
11,"Long Hair",28
11,"Tattoos",27
11,"Inappropriate dress",20
11,"Piercings",17
11,"Dirty/Unkempt",3
11,"Facial Hair",3
12,"Blanket",27
12,"Toy",26
12,"Teddy Bear",22
12,"Doll",15
12,"Bottle",5
12,"Pacifier",3
13,"George W Bush",35
13,"William Clinton",23
13,"Abe Lincoln",19
13,"Richard Nixon",12
13,"George Washington",5
13,"Ronald Reagan",3
14,"Talking",27
14,"Shopping/Spending",21
14,"Drinking",18
14,"Sleeping",16
14,"Spending Money",9
14,"Watching TV",6
15,"Towel",45
15,"Bathing Suit",17
15,"Sun Screen",10
15,"Umbrella",10
15,"Sunglasses",8
15,"Beach Chair",7
16,"cars",71
16,"Clothes",10
16,"Houses",9
16,"Jewlery",3
16,"Plane",3
16,"boat",3
17,"Trees",37
17,"Ornaments",19
17,"Toys",11
17,"Lights",8
17,"Wrapping Paper",7
17,"Christmas Cards",4
18,"Pop A Zit",14
18,"Look At Your Body",9
18,"Dance",8
18,"Undress",6
18,"Pluck eyebrows",6
18,"Clip Nose Hairs",6
19,"Blood",50
19,"Love Scenes",13
19,"Scenery",12
19,"Acting",10
19,"Monsters",6
19,"Fight Scenes",5
20,"Pumpkins",39
20,"Corn",20
20,"Leaves",18
20,"Apples",12
20,"People",5
20,"Hay Rides",3
21,"Money",35
21,"Drugs",23
21,"Death",14
21,"Safety",11
21,"Coming Back",10
21,"Lonely",5
22,"Holds Your hand",28
22,"kisses You",25
22,"Smiling",21
22,"Arm Around You",12
22,"Move Closer",7
22,"Looking At You",5
23,"Having A Photo Taken",34
23,"Hear A Bad Joke",18
23,"Job Interview",13
23,"Upset",12
23,"Meeting New People",12
23,"Nervous",4
24,"No Cake",22
24,"No food",17
24,"No Decorations",7
24,"No favors",6
24,"No Presents",5
24,"No cards",3
25,"Alphabet",62
25,"Spell Their Name",13
25,"Phone Number",8
25,"Address",4
25,"Nursery Rhymes",4
25,"Pledge Of Allegiance",3
26,"Sleep",33
26,"Sing",24
26,"Drink Alcohol",19
26,"Eat",7
26,"Talk",5
26,"Read",3
27,"Singing",61
27,"Directing",11
27,"Modeling",10
27,"Fashion design",9
27,"Politics",3
27,"Spokeperson",3
28,"Trash The Place",30
28,"Drink To Much",28
28,"Swear",18
28,"Strip",6
28,"Not Show Up",5
28,"Start A Fire",4
29,"White Dress",28
29,"All black",24
29,"Shorts",15
29,"Jeans",12
29,"Cap",5
29,"T Shirt",3
30,"Dragon",47
30,"Ogre",24
30,"Witch",13
