id,question
1,"For Which Items Do People Wait In Long Lines To Purchase At The Holidays?"
2,"Name An Occupation That Would Never drive A Small Car."
3,"Name A Skill That A Person’s Resume Might Claim They’re Better At Than They Really Are."
4,"Name A Christmas Show That Is On TV Every Year."
5,"Name A Place Where Most Americans Go At Least Once For Vacation"
6,"Tell Me Something You Try To Avoid Hitting While Sledding Down A Hill"
7,"Name Something Specific A Student Might Do In Oder To Become The Teacher’s Pet"
8,"What Time Is The earliest You’re Willing To Get Up On A Saturday?"
9,"A What Place Would You Not want To Be Seated Next To Someone With An Annoying Laugh"
10,"Name Something You Are Embarrassed To Do In Front Of People At The Gym"
11,"Tell Me Something About A Boy’s Appearance That Might Make his Date’s Disapprove Of Him"
12,"Name Something A Child Might Carry Along Everywhere"
13,"Which Former President Would Look Funny Wearing A Dress?"
14,"Name Something Your Spouse Might Get Mad At You for Doing Too Much"
15,"What Kind Of Gift Would You Get Somebody That Spends A Lot Of Time At The Beach"
16,"Name Something Millionaires Might Shop For Just For Fun"
17,"Name An Item Stores Probably Have A Hard Time Selling After Christmas"
18,"Name Something You Do In Front Of A Mirror You Wouldn’t Want Anyone To See"
19,"Name Something That You Can Tell Is Fake In A Cheesy Movie"
20,"Name Something Your Likely To Find At A Fall Harvest Fair"
21,"name A fear parents Have For Their Child, When She Moves Out Of The House"
22,"When Sitting Close To A Date, What Clue Might They Give That They Like "
23,"Name An Instance When You Fake A Smile"
24,"Name A Sign You’re At A Really Cheap Birthday party"
25,"Name Something That Young Children Memorize"
26,"Name Something A Hobo Does To Pass His Time While Ridin’ The Rails"
27,"Other than Acting, Name A Profession That Celebrity Actors Might Take Up"
28,"What Might A Rock Star Do At A Concert Hall That prevents Him Form Getting Hired Again"
29,"Name Something You Should Never Wear As The Guest At Someone’s Wedding"
30,"Name Something Men In Fairy Tales Fight Against, That Real Men Don’t"
31,"Name A Movie Or TV Show That Has The word ‘Diary/Diaries’ In The Title"
32,"We Asked 100 Married people: After How Many Did You Know Your Partner was The one?"
33,"If A group Of Senior Citizens Formed A Punk Rock Band, What Might Their Songs Bark About"
34,"Name A Job Where It Would Be Okay To Yell At Work"
35,"Name A Sport In Which Participants Use A Specific Kind Of Headwear"
36,"What Do People Do That Could Get Them Kicked Out Of A Museum"
37,"Name Something That often Has Magical Powers In fairy Tales"
38,"Name Something A Child Might Never Do If They weren’t Forced To"
39,"Name Something That it’s Hard To Do While Listening To Music"
40,"Name An Expression That Ends With The word “House”"
41,"aside From Animals, Name Something People Hunt For."
42,"name Something A Celebrity Hopes Won’t Happen While On Stage To Accept An Award"
43,"Name Something You Do In A Booth"
44,"name something You Often Feel Sleepy while Doing"
45,"Name A Reason Your Bathroom Is Better Than An Outhouse"
46,"Name A Job Where Employees Must get Tired Arms"
47,"Name A Specif Food That Someone With High Cholesterol Might give Up"
48,"name A Way You Might Be Able to Tell Your Baby Is really An Alien"
49,"What Might somebody Do That Would Annoy Fellow Theater-Goers At A Play?"
50,"Name Something A Magician Might Make Disappear"
51,"Name Something A Slob Might Never Clean"
52,"Name A Popular Pick Up Line"
53,"By What Method Might A Woman Make The Announcement That She’s Pregnant"
54,"What Might An Adult Wear That Has His Name On It?"
55,"Besides The Blade, Name Something You’d Find On A Swiss Army Knife"
56,"Name Something Teens May Be Afraid Of When Moving Away To College"
57,"name A Place You’d Visit More Often If It wasn’t So Crowded There"
58,"Name A Place Where A Mom Might Go When She Says, ” I Need Peace And Quiet.”"
59,"Name Something Around The House You Might Keep Spare Batteries For"
60,"What Is The First Thing You Would Do If You Won A Million Dollars"
61,"Name something That’s forbidden In Most Swimming Pools"
62,"What Do Tourists Ride In Or On, That Makes Them Stand Out?"
63,"Name something Many People Would Love To Live Next To"
64,"At which Type Of Place Would You Be Surprised To See A Neon Sign Hanging In The Window"
65,"Name a Meal You’d Never Serve At a Fancy Party"
66,"Name A type Of Dance People Do In A Dance Competition"
67,"Name Something A Fan Might Collect From Their favorite Singer"
68,"Name A Complaint A Customer Might Have About A Bar They’re At"
69,"name Something You Carry with You Just In Case, But Hate to Get Stuck Carrying"
70,"Name Something Men Probably Lie About Most"
71,"Name Something People Proudly Share On Facebook"
72,"Name Something You Wouldn’t Want Your date To Talk Too Much About"
73,"Name Something Pros Do On A Golf Course, That You’d Look Silly Doing For Mini Golf"
74,"On Average, How Many Hours Does A Couple Sleep On Their Wedding Night"
75,"It’s Said There Is A Seven Year Itch, After How Many Years Do You Think The Itch really Comes"
76,"Name A Place You Would Go With Your Wife Just To Make Her Stop Nagging"
77,"Name Something You Do After returning Home From A Long Vacation"
